,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,reserved_room_type,customer_type,adr,total_of_special_requests,date
0,Resort Hotel,7,2015,7,27,1,0,1,1,BB,GBR,Direct,A,Transient,75.0,0,2015-07-01
1,Resort Hotel,14,2015,7,27,1,0,2,2,BB,GBR,Online TA,A,Transient,98.0,1,2015-07-01
2,Resort Hotel,14,2015,7,27,1,0,2,2,BB,GBR,Online TA,A,Transient,98.0,1,2015-07-01
3,Resort Hotel,0,2015,7,27,1,0,2,2,BB,PRT,Direct,C,Transient,107.0,0,2015-07-01
4,Resort Hotel,9,2015,7,27,1,0,2,2,FB,PRT,Direct,C,Transient,103.0,1,2015-07-01
5,Resort Hotel,85,2015,7,27,1,0,3,2,BB,PRT,Online TA,A,Transient,82.0,1,2015-07-01
6,Resort Hotel,75,2015,7,27,1,0,3,2,HB,PRT,Offline TA/TO,D,Transient,105.5,0,2015-07-01
7,Resort Hotel,23,2015,7,27,1,0,4,2,BB,PRT,Online TA,E,Transient,123.0,0,2015-07-01
8,Resort Hotel,35,2015,7,27,1,0,4,2,HB,PRT,Online TA,D,Transient,145.0,0,2015-07-01
9,Resort Hotel,68,2015,7,27,1,0,4,2,BB,USA,Online TA,D,Transient,97.0,3,2015-07-01
10,Resort Hotel,18,2015,7,27,1,0,4,2,HB,ESP,Online TA,G,Transient,154.77,1,2015-07-01
11,Resort Hotel,37,2015,7,27,1,0,4,2,BB,PRT,Online TA,E,Transient,94.71,0,2015-07-01
12,Resort Hotel,68,2015,7,27,1,0,4,2,BB,IRL,Online TA,D,Transient,97.0,3,2015-07-01
13,Resort Hotel,37,2015,7,27,1,0,4,2,BB,PRT,Offline TA/TO,E,Contract,97.5,0,2015-07-01
14,Resort Hotel,12,2015,7,27,1,0,1,2,BB,IRL,Online TA,A,Transient,88.2,0,2015-07-01
15,Resort Hotel,7,2015,7,27,1,0,4,2,BB,GBR,Direct,G,Transient,153.0,1,2015-07-01
16,Resort Hotel,37,2015,7,27,1,1,4,1,BB,GBR,Online TA,F,Transient,97.29,1,2015-07-01
17,Resort Hotel,72,2015,7,27,1,2,4,2,BB,PRT,Direct,A,Transient,84.67,1,2015-07-01
18,Resort Hotel,72,2015,7,27,1,2,4,2,BB,PRT,Direct,A,Transient,84.67,1,2015-07-01
19,Resort Hotel,72,2015,7,27,1,2,4,2,BB,PRT,Direct,D,Transient,99.67,1,2015-07-01
20,Resort Hotel,127,2015,7,27,1,2,5,2,HB,GBR,Offline TA/TO,D,Contract,94.95,1,2015-07-01
21,Resort Hotel,78,2015,7,27,1,2,5,2,BB,PRT,Offline TA/TO,D,Transient,63.6,0,2015-07-01
22,Resort Hotel,48,2015,7,27,1,2,5,2,BB,IRL,Offline TA/TO,D,Contract,79.5,0,2015-07-01
